doc_id,sentence_id,corpus,date,findspot,translation,transliteration,normalized_transliteration,lemma_forms,mdc,semantic_text
D069400,IBUBdxrEjkiaWUVjikij9k5set0,sawlit,NK,Middle Egypt (from Kairo to Assiut),Es gibt nicht die Grenze des Ptah und des Erbrechens. (??),"nn ḏr,ww Ptḥ ḥnꜥ gꜣbsbs",nn drww pth hna gabsbs,nn | ḏr.w | Ptḥ | ḥnꜥ | qjs,"nn Dr,ww ptH Hna gAbsbs","Translation: Es gibt nicht die Grenze des Ptah und des Erbrechens. (??) | Transliteration: nn ḏr,ww Ptḥ ḥnꜥ gꜣbsbs | Corpus: sawlit | Date: NK | Findspot: Middle Egypt (from Kairo to Assiut)"
D054347,IBUBdwMBS7uBlkHtszzOz6GNZtw,sawlit,TIP - Roman times,unknown,"Der, der sich zum Kentern bringt, ist der, der [...] schickt [... ...]","p(ꜣ) n,tj bgꜣ.ṱ =f p(ꜣ) n,tj hꜣb [...]",pa ntj bga.t f pa ntj hab ...,pꜣ | n.tj | bgꜣ | =f | pꜣ | n.tj | hꜣb,"p(A) n,tj bgA.v =f p(A) n,tj hAb [...]","Translation: Der, der sich zum Kentern bringt, ist der, der [...] schickt [... ...] | Transliteration: p(ꜣ) n,tj bgꜣ.ṱ =f p(ꜣ) n,tj hꜣb [...] | Corpus: sawlit | Date: TIP - Roman times | Findspot: unknown"
D074390,IBUBdQAkag8PBEHkut1Knpyl0eE,sawlit,NK,Upper Egypt (South of Assiut),"""Lasst nach Ba-neb-Djed, dem großen lebenden Gott, rufen!","jmm [ꜥš] =tw n Bꜣ-nb-Ḏd(,t) nṯr-ꜥꜣ-ꜥnḫ",jmm as tw n ba-nb-ddt ntr-aa-anh,jmi̯ | ꜥš | =tw | n | Bꜣ-nb-Ḏd.t | nṯr-ꜥꜣ-ꜥnḫ,"jmm [aS] =tw n bA-nb-Dd(,t) nTr-aA-anx","Translation: ""Lasst nach Ba-neb-Djed, dem großen lebenden Gott, rufen! | Transliteration: jmm [ꜥš] =tw n Bꜣ-nb-Ḏd(,t) nṯr-ꜥꜣ-ꜥnḫ | Corpus: sawlit | Date: NK | Findspot: Upper Egypt (South of Assiut)"
D090655,IBUBd3zTP7mOGUKkmx3K2KXnsRA,tb,NK,Upper Egypt (South of Assiut),Speisen sind gebracht.,jni̯ ḥtp,jni htp,jni̯ | ḥtp,jni Htp,Translation: Speisen sind gebracht. | Transliteration: jni̯ ḥtp | Corpus: tb | Date: NK | Findspot: Upper Egypt (South of Assiut)
D066101,IBUBd1nJUqXy3EG9qSSHHcyVnlQ,sawlit,NK,Upper Egypt (South of Assiut),Wenn er die Stunde (?) kennt [...,"[jr] [rḫ] =[f] [wnw,t] [...]",jr rh f wnwt ...,jr | rḫ | =f | wnw.t,"[jr] [rx] =[f] [wnw,t] [...]","Translation: Wenn er die Stunde (?) kennt [... | Transliteration: [jr] [rḫ] =[f] [wnw,t] [...] | Corpus: sawlit | Date: NK | Findspot: Upper Egypt (South of Assiut)"
D062060,IBUBd0W0EDqoT0EWvV00acaFXfg,sawlit,MK & SIP,Upper Egypt (South of Assiut),Er gibt es mir (aber) nicht (mehr zurück).,n rḏi̯.n =f n =j st,n rdi.n f n j st,n | rḏi̯ | =f | n | =j | st,n rDi.n =f n =j st,Translation: Er gibt es mir (aber) nicht (mehr zurück). | Transliteration: n rḏi̯.n =f n =j st | Corpus: sawlit | Date: MK & SIP | Findspot: Upper Egypt (South of Assiut)
D043720,IBUBd49j0ukTcECMoLowgylhmwo,bbawpyramidentexte,OK & FIP,Middle Egypt (from Kairo to Assiut),[Dieser Pepi lebt durch(?)/von(?) ...(?) seines Vaters Atum.],"[ꜥnḫ] [Ppy] [pn] [m] [jzn,w] [jt(j)] =[f] [(J)tm(,w)]",anh ppy pn m jznw jtj f jtmw,ꜥnḫ | Ppy | pn | m | jzn.w | jtj | =f | Jtm.w,"[anx] [ppy] [pn] [m] [jzn,w] [jt(j)] =[f] [(j)tm(,w)]","Translation: [Dieser Pepi lebt durch(?)/von(?) ...(?) seines Vaters Atum.] | Transliteration: [ꜥnḫ] [Ppy] [pn] [m] [jzn,w] [jt(j)] =[f] [(J)tm(,w)] | Corpus: bbawpyramidentexte | Date: OK & FIP | Findspot: Middle Egypt (from Kairo to Assiut)"
D030769,IBUBd2kI7De6l0BpliYz0dBuog8,bbawpyramidentexte,OK & FIP,Middle Egypt (from Kairo to Assiut),Pepi Neferkare ist zwischen ihnen.,"jw Ppy Nfr-kꜣ-Rꜥw jm(w),t(j) =sn(j)",jw ppy nfr-ka-raw jmwtj snj,jw | Ppy | Nfr-kꜣ-Rꜥw | jm.wtj | =snj,"jw ppy nfr-kA-raw jm(w),t(j) =sn(j)","Translation: Pepi Neferkare ist zwischen ihnen. | Transliteration: jw Ppy Nfr-kꜣ-Rꜥw jm(w),t(j) =sn(j) | Corpus: bbawpyramidentexte | Date: OK & FIP | Findspot: Middle Egypt (from Kairo to Assiut)"
D093420,IBUBdz2rdkWOzUJqiWiwlWAFdSM,tb,NK,Upper Egypt (South of Assiut),"Sei gegrüßt, jene Unterwelt!","j:nḏ-ḥr =ṯ jmḥ,t twy",jnd-hr t jmht twy,nḏ | =ṯ | jmḥ.t | twy,"j:nD-Hr =T jmH,t twy","Translation: Sei gegrüßt, jene Unterwelt! | Transliteration: j:nḏ-ḥr =ṯ jmḥ,t twy | Corpus: tb | Date: NK | Findspot: Upper Egypt (South of Assiut)"
D069574,IBUBd2Ei0OzbEkgnv9HGZyDxciQ,sawlit,TIP - Roman times,Upper Egypt (South of Assiut),Umzäune dir ein Kürbisbeet (?) im vorderen Bereich deines Pflugackers!,"jnḥ n =k bꜣ〈n〉d,t m-ḥꜣ,t tꜣy =k skꜣ",jnh n k bandt m-hat tay k ska,jnḥ | n | =k | bnd.t | m-ḥꜣ.t | tꜣy= | =k | skꜣ.t,"jnH n =k bA〈n〉d,t m-HA,t tAy =k skA","Translation: Umzäune dir ein Kürbisbeet (?) im vorderen Bereich deines Pflugackers! | Transliteration: jnḥ n =k bꜣ〈n〉d,t m-ḥꜣ,t tꜣy =k skꜣ | Corpus: sawlit | Date: TIP - Roman times | Findspot: Upper Egypt (South of Assiut)"
D053292,IBUBd7TUoQJHiE0LqtKq2XEKROc,bbawtotenlit,TIP - Roman times,Middle Egypt (from Kairo to Assiut),"""Perfekt sind deine beiden Arme, die das Nechacha (Flaggellum) (und) das Heqa-Szepter halten, (indem) sie fest in deinen Händen sind, Osiris Chontamenti (und) Osiris Imhotep hier selig!""","twt ꜥ.du.wj =k fꜣi̯ nḫḫ ḥqꜣ mn m ꜥ.du.wj =k Wsjr-ḫnt,j-Jmn,tt Wsjr Jj-m-ḥtp pn mꜣꜥ-ḫrw",twt a.du.wj k fai nhh hqa mn m a.du.wj k wsjr-hntj-jmntt wsjr jj-m-htp pn maa-hrw,twt | ꜥ | =k | fꜣi̯ | nḫꜣḫꜣ | ḥqꜣ.t | mn | m | ꜥ | =k | Wsjr-Ḫnt.j-jmn.tjw | Wsjr | Jy-m-ḥtp | pn | mꜣꜥ-ḫrw,"twt a.du.wj =k fAi nxx HqA mn m a.du.wj =k wsjr-xnt,j-jmn,tt wsjr jj-m-Htp pn mAa-xrw","Translation: ""Perfekt sind deine beiden Arme, die das Nechacha (Flaggellum) (und) das Heqa-Szepter halten, (indem) sie fest in deinen Händen sind, Osiris Chontamenti (und) Osiris Imhotep hier selig!"" | Transliteration: twt ꜥ.du.wj =k fꜣi̯ nḫḫ ḥqꜣ mn m ꜥ.du.wj =k Wsjr-ḫnt,j-Jmn,tt Wsjr Jj-m-ḥtp pn mꜣꜥ-ḫrw | Corpus: bbawtotenlit | Date: TIP - Roman times | Findspot: Middle Egypt (from Kairo to Assiut)"
D037403,IBUBd3SnZAoFVEaWismUEOE2pEg,bbawpyramidentexte,OK & FIP,Middle Egypt (from Kairo to Assiut),"Geb, er kann sich nicht (mehr) wehren(?) / nichts ersinnen(?) können.",Gbb n wꜣ.n =f,gbb n wa.n f,Gbb | n | wꜣ | =f,gbb n wA.n =f,"Translation: Geb, er kann sich nicht (mehr) wehren(?) / nichts ersinnen(?) können. | Transliteration: Gbb n wꜣ.n =f | Corpus: bbawpyramidentexte | Date: OK & FIP | Findspot: Middle Egypt (from Kairo to Assiut)"
D057605,IBUBdWvnC3XLjUwZraPUeQQeXe4,sawlit,NK,Upper Egypt (South of Assiut),während (?) meine Mutter zum [Sykomore(ntempel)] gegangen war.,"jw mw,t =j 〈sbi̯〉.tj r [nh,t]",jw mwt j sbi.tj r nht,jw | mw.t | =j | zbi̯ | r | Nh.t,"jw mw,t =j 〈sbi〉.tj r [nh,t]","Translation: während (?) meine Mutter zum [Sykomore(ntempel)] gegangen war. | Transliteration: jw mw,t =j 〈sbi̯〉.tj r [nh,t] | Corpus: sawlit | Date: NK | Findspot: Upper Egypt (South of Assiut)"
D061834,IBUBdWrtrSmPuU7Zm4ropBGsZBQ,sawlit,NK,Upper Egypt (South of Assiut),... [wenn er sich um die Ernte (?)] kümmert.,nwi̯ =[f] [⸮r?] [⸮šmw?],nwi f r smw,nwi̯,nwi =[f] [⸮r?] [⸮Smw?],Translation: ... [wenn er sich um die Ernte (?)] kümmert. | Transliteration: nwi̯ =[f] [⸮r?] [⸮šmw?] | Corpus: sawlit | Date: NK | Findspot: Upper Egypt (South of Assiut)
D055316,IBUBdwg4gl43O0WnjukdetBZc5g,sawlit,MK & SIP,Nubia,"So wahr der Sohn des Re 𓍹Sesostris𓍺 lebt, 
ich sage, dass dies wirklich geschah.","ꜥnḫ zꜣ-Rꜥ Z-n-Wsr,t ḏd =j nn ḫpr m ⸢w⸣n-mꜣꜥ",anh za-ra z-n-wsrt dd j nn hpr m wn-maa,ꜥnḫ | zꜣ-Rꜥw | Z-n-wsr.t | ḏd | =j | nn | ḫpr (m-sꜣ) | m | wn-mꜣꜥ,"anx zA-ra z-n-wsr,t Dd =j nn xpr m ⸢w⸣n-mAa","Translation: So wahr der Sohn des Re 𓍹Sesostris𓍺 lebt, 
ich sage, dass dies wirklich geschah. | Transliteration: ꜥnḫ zꜣ-Rꜥ Z-n-Wsr,t ḏd =j nn ḫpr m ⸢w⸣n-mꜣꜥ | Corpus: sawlit | Date: MK & SIP | Findspot: Nubia"
D089999,IBUBd181U9zBxUJKvAtxVWKH3JY,tb,NK,Middle Egypt (from Kairo to Assiut),Ich bin gekommen.,jy.n =j,jy.n j,jwi̯ | =j,jy.n =j,Translation: Ich bin gekommen. | Transliteration: jy.n =j | Corpus: tb | Date: NK | Findspot: Middle Egypt (from Kairo to Assiut)
D035033,IBUBd3VtbMO3O0UKi9LNbwZ9FRE,bbawpyramidentexte,OK & FIP,Middle Egypt (from Kairo to Assiut),"Siehe, Pepi Neferkare ist gekommen; siehe, dieser Pepi ist herausgegangen.",m =k Ppy Nfr-kꜣ-Rꜥw jyi̯.y m =k Ppy Nfr-kꜣ-Rꜥw pri̯.y,m k ppy nfr-ka-raw jyi.y m k ppy nfr-ka-raw pri.y,m | =k | Ppy | Nfr-kꜣ-Rꜥw | jwi̯ | m | =k | Ppy | Nfr-kꜣ-Rꜥw | pri̯,m =k ppy nfr-kA-raw jyi.y m =k ppy nfr-kA-raw pri.y,"Translation: Siehe, Pepi Neferkare ist gekommen; siehe, dieser Pepi ist herausgegangen. | Transliteration: m =k Ppy Nfr-kꜣ-Rꜥw jyi̯.y m =k Ppy Nfr-kꜣ-Rꜥw pri̯.y | Corpus: bbawpyramidentexte | Date: OK & FIP | Findspot: Middle Egypt (from Kairo to Assiut)"
D054610,IBUBdx3TcjJHWU4RpfT0Zu08wIg,sawlit,MK & SIP,Upper Egypt (South of Assiut),(Und) mit deinen Kleidern hast du noch/sogar die Straße versehen.,"ḥn.n =k r =f wꜣ,t m ḥbs.[w.pl] =⸢k⸣",hn.n k r f wat m hbs.w.pl k,ḥn | =k | jr | =f | wꜣ.t | m | ḥbs | =k,"Hn.n =k r =f wA,t m Hbs.[w.pl] =⸢k⸣","Translation: (Und) mit deinen Kleidern hast du noch/sogar die Straße versehen. | Transliteration: ḥn.n =k r =f wꜣ,t m ḥbs.[w.pl] =⸢k⸣ | Corpus: sawlit | Date: MK & SIP | Findspot: Upper Egypt (South of Assiut)"
D053588,IBUBdWIaJAJ2ykMCqvrObt8sWTo,bbawtotenlit,TIP - Roman times,Middle Egypt (from Kairo to Assiut),"""Ich bin (es,) deine göttliche Mutter Nut!""","jnk tmꜣ,t =k nṯr(,j) Nw,t",jnk tmat k ntrj nwt,jnk | tmꜣ.t | =k | nṯr.j | Nw.t,"jnk tmA,t =k nTr(,j) nw,t","Translation: ""Ich bin (es,) deine göttliche Mutter Nut!"" | Transliteration: jnk tmꜣ,t =k nṯr(,j) Nw,t | Corpus: bbawtotenlit | Date: TIP - Roman times | Findspot: Middle Egypt (from Kairo to Assiut)"
D086510,IBUBd2IRikPtJU7FkYFFW6WqL9E,tb,TIP - Roman times,Upper Egypt (South of Assiut),Ich werde als jener Gott unter den Menschen erscheinen.,ḫꜥi̯ =(j) m nṯr pwy m r(m){r}〈ṯ〉.pl,hai j m ntr pwy m rmrt.pl,ḫꜥi̯ | =j | m | nṯr | pwy | m | rmṯ,xai =(j) m nTr pwy m r(m){r}〈T〉.pl,Translation: Ich werde als jener Gott unter den Menschen erscheinen. | Transliteration: ḫꜥi̯ =(j) m nṯr pwy m r(m){r}〈ṯ〉.pl | Corpus: tb | Date: TIP - Roman times | Findspot: Upper Egypt (South of Assiut)
D052395,IBUBdz0Qr9aTEEAnrJU6WiDVYps,bbawtotenlit,TIP - Roman times,Middle Egypt (from Kairo to Assiut),"""Öffnet (Euch) für (den) Osiris (Priester des) Horus-heiligend-die-Glieder Imhotep, der von der Hausherrin Tjehnet 〈selig〉 geboren (""gemacht"") wurde, gleichfalls!""","j:wn n Wsjr Ḥr-ḏsr-ḥꜥ,w.pl Jj-m-ḥtp jri̯ n nb-pr Tjḥn,t 〈mꜣꜥ-ḫrw〉 mj,t.t",jwn n wsjr hr-dsr-haw.pl jj-m-htp jri n nb-pr tjhnt maa-hrw mjt.t,wn | n | Wsjr | Ḥr.w-ḏsr-ḥꜥ.w | Jy-m-ḥtp | jri̯ | n | nb.t-pr | Ṯḥn.t | mꜣꜥ-ḫrw | mj.tjt,"j:wn n wsjr Hr-Dsr-Ha,w.pl jj-m-Htp jri n nb-pr tjHn,t 〈mAa-xrw〉 mj,t.t","Translation: ""Öffnet (Euch) für (den) Osiris (Priester des) Horus-heiligend-die-Glieder Imhotep, der von der Hausherrin Tjehnet 〈selig〉 geboren (""gemacht"") wurde, gleichfalls!"" | Transliteration: j:wn n Wsjr Ḥr-ḏsr-ḥꜥ,w.pl Jj-m-ḥtp jri̯ n nb-pr Tjḥn,t 〈mꜣꜥ-ḫrw〉 mj,t.t | Corpus: bbawtotenlit | Date: TIP - Roman times | Findspot: Middle Egypt (from Kairo to Assiut)"
D051398,IBUBd4QHgn1gg0n2oQjvt9Fa1rI,bbawtotenlit,TIP - Roman times,Upper Egypt (South of Assiut),"""Deine Stimme ist gerechtfertigt gegen deine Feinde!"" - vier Mal (rezitieren)",jw ḫrw =k mꜣꜥ-〈ḫrw〉 r ḫft.pl =k sp 4,jw hrw k maa-hrw r hft.pl k sp 4,jw | ḫrw | =k | mꜣꜥ-ḫrw | r | ḫft.j | =k | zp | 1...n,jw xrw =k mAa-〈xrw〉 r xft.pl =k sp 4,"Translation: ""Deine Stimme ist gerechtfertigt gegen deine Feinde!"" - vier Mal (rezitieren) | Transliteration: jw ḫrw =k mꜣꜥ-〈ḫrw〉 r ḫft.pl =k sp 4 | Corpus: bbawtotenlit | Date: TIP - Roman times | Findspot: Upper Egypt (South of Assiut)"
D030957,IBUBd2HRQinjjkddqTOEk6L6xF8,bbawpyramidentexte,OK & FIP,Middle Egypt (from Kairo to Assiut),"Die Türflügel des Himmels öffnen sich für dich, die Türflügel der Nut gehen auf für dich.","wn n =k ꜥꜣ.du p,t j:zn n =k ꜥꜣ.du Nw,t",wn n k aa.du pt jzn n k aa.du nwt,wn | n | =k | ꜥꜣ | p.t | zn | n | =k | ꜥꜣ | Nw.t,"wn n =k aA.du p,t j:zn n =k aA.du nw,t","Translation: Die Türflügel des Himmels öffnen sich für dich, die Türflügel der Nut gehen auf für dich. | Transliteration: wn n =k ꜥꜣ.du p,t j:zn n =k ꜥꜣ.du Nw,t | Corpus: bbawpyramidentexte | Date: OK & FIP | Findspot: Middle Egypt (from Kairo to Assiut)"
D050195,IBUBdwFzJk08X0a2iDa5pudd7vo,bbawtotenlit,TIP - Roman times,Upper Egypt (South of Assiut),Oh Osiris des Gottesvaters |NN|.,hꜣ wsjr jt-nṯr [...],ha wsjr jt-ntr ...,hꜣ | Wsjr | jtj-nṯr,hA wsjr jt-nTr [...],Translation: Oh Osiris des Gottesvaters |NN|. | Transliteration: hꜣ wsjr jt-nṯr [...] | Corpus: bbawtotenlit | Date: TIP - Roman times | Findspot: Upper Egypt (South of Assiut)
D042591,IBUBd4sY1WB6xEWHgP9CwITfB4E,bbawpyramidentexte,OK & FIP,Middle Egypt (from Kairo to Assiut),Darbringen viermal:,ḥnk zp 4,hnk zp 4,ḥnk | zp | 1...n,Hnk zp 4,Translation: Darbringen viermal: | Transliteration: ḥnk zp 4 | Corpus: bbawpyramidentexte | Date: OK & FIP | Findspot: Middle Egypt (from Kairo to Assiut)
D051590,IBUBdQtUOzQUpEWAp1BREdcRTzg,bbawtotenlit,TIP - Roman times,Upper Egypt (South of Assiut),"""Seine Flamme, 'die an seinem Scheitel ist' (Uräusschlange des Re), tötet ihn!""","smꜣ 〈sw〉 ḫ,t =s jm,jṱ-wp,t≡f",sma sw ht s jmjt-wptf,smꜣ | sw | ḫ.t | =s | jm.jt-wp.t=f,"smA 〈sw〉 x,t =s jm,jv-wp,t≡f","Translation: ""Seine Flamme, 'die an seinem Scheitel ist' (Uräusschlange des Re), tötet ihn!"" | Transliteration: smꜣ 〈sw〉 ḫ,t =s jm,jṱ-wp,t≡f | Corpus: bbawtotenlit | Date: TIP - Roman times | Findspot: Upper Egypt (South of Assiut)"
D042463,IBUBd3s1DJvW4Un8hw9B2uSN4I0,bbawpyramidentexte,OK & FIP,Middle Egypt (from Kairo to Assiut),"[...], [sie wird] ihre Brust diesem Pepi geben, damit dieser Pepi an ihr [sauge].",[...] [ḏi̯] =[s] [m]nḏ =s n Ppy p[n] [snq] sw [Ppy] [p]n,... di s mnd s n ppy pn snq sw ppy pn,rḏi̯ | =s | mnḏ | =s | n | Ppy | pn | snq | sw | Ppy | pn,[...] [Di] =[s] [m]nD =s n ppy p[n] [snq] sw [ppy] [p]n,"Translation: [...], [sie wird] ihre Brust diesem Pepi geben, damit dieser Pepi an ihr [sauge]. | Transliteration: [...] [ḏi̯] =[s] [m]nḏ =s n Ppy p[n] [snq] sw [Ppy] [p]n | Corpus: bbawpyramidentexte | Date: OK & FIP | Findspot: Middle Egypt (from Kairo to Assiut)"
