term_id,term,df,total_tf,fields,field_count
T000059,ah,767,1713,"lemma_forms, mdc, normalized_transliteration, translation",4
T000058,tp,762,3104,"lemma_forms, mdc, normalized_transliteration, translation",4
T000113,pri,761,4352,"lemma_forms, mdc, normalized_transliteration",3
T000095,bin,752,789,translation,1
T000041,wt,741,1075,"lemma_forms, mdc, normalized_transliteration, translation",4
T000038,jmj,735,2184,"mdc, normalized_transliteration",2
T000073,ihm,722,785,translation,1
T000047,wr,720,2952,"lemma_forms, mdc, normalized_transliteration, translation",4
T000071,wie,716,821,translation,1
T000074,rn,712,4471,"lemma_forms, mdc, normalized_transliteration",3
T000044,htp,700,2630,"lemma_forms, mdc, normalized_transliteration",3
T000111,ihr,696,820,translation,1
T000143,gtter,696,747,translation,1
T000147,ntr.pl,683,1456,"mdc, normalized_transliteration",2
T000020,1...n,679,851,lemma_forms,1
T000040,pa,677,4345,"lemma_forms, mdc, normalized_transliteration, translation",4
T000141,nw,667,1578,"lemma_forms, mdc, normalized_transliteration, translation",4
T000158,maa-hrw,654,1582,"lemma_forms, mdc, normalized_transliteration",3
T000160,maa-xrw,647,787,mdc,1
T000153,bist,645,698,translation,1
T000130,pt,642,2644,"mdc, normalized_transliteration, translation",3
T000114,zp,635,2146,"lemma_forms, mdc, normalized_transliteration, translation",4
T000084,hw,624,842,"lemma_forms, mdc, normalized_transliteration",3
T000030,pr,623,2379,"lemma_forms, mdc, normalized_transliteration, translation",4
T000082,hnt,612,968,"lemma_forms, mdc, normalized_transliteration",3
T000085,um,595,659,translation,1
T000099,mir,590,631,translation,1
T000166,p.t,588,637,"lemma_forms, mdc, normalized_transliteration",3
T000062,ht,573,1173,"lemma_forms, mdc, normalized_transliteration, translation",4
T000118,wn,572,2299,"lemma_forms, mdc, normalized_transliteration, translation",4
T000121,hwt,571,1390,"lemma_forms, mdc, normalized_transliteration",3
T000087,vor,570,640,translation,1
T000242,oh,568,645,translation,1
T000207,deinen,552,604,translation,1
T000053,wa,549,1447,"lemma_forms, mdc, normalized_transliteration",3
T000075,xt,549,852,mdc,1
T000170,denn,548,555,translation,1
T000119,werden,545,636,translation,1
T000101,beiden,544,601,translation,1
T000125,ber,544,569,translation,1
T000112,jtj,543,2050,"lemma_forms, mdc, normalized_transliteration",3
T000064,mr,537,1257,"lemma_forms, mdc, normalized_transliteration, translation",4
T000076,seinem,533,589,translation,1
T000132,damit,526,664,translation,1
T000149,habe,525,545,translation,1
T000035,hm,524,1918,"lemma_forms, mdc, normalized_transliteration, translation",4
T000217,deinem,517,575,translation,1
T000131,seinen,513,572,translation,1
T000128,hpr,509,1009,"lemma_forms, normalized_transliteration",2
T000089,aha,499,2160,"lemma_forms, mdc, normalized_transliteration",3
T000080,ntj,497,1626,"mdc, normalized_transliteration",2
T000093,zum,496,531,translation,1
T000108,dr,495,1678,"lemma_forms, mdc, normalized_transliteration",3
T000198,jm.j,491,543,"lemma_forms, mdc, normalized_transliteration",3
T000193,ba,484,2557,"lemma_forms, mdc, normalized_transliteration, translation",4
T000159,wnn,483,2173,"lemma_forms, mdc, normalized_transliteration",3
T000156,xntj,477,628,mdc,1
T000183,jnk,472,2908,"lemma_forms, mdc, normalized_transliteration",3
T000226,hft,471,1062,"lemma_forms, normalized_transliteration",2
T000102,wenn,465,506,translation,1
T000155,mich,464,505,translation,1
T000083,gott,463,503,translation,1
T000163,jrt,459,1244,"lemma_forms, mdc, normalized_transliteration",3
T000120,tjt,455,507,"lemma_forms, mdc, normalized_transliteration",3
T000211,sprechen,454,456,translation,1
T000154,jy,451,1239,"lemma_forms, mdc, normalized_transliteration, translation",4
T000109,man,450,554,"lemma_forms, mdc, normalized_transliteration, translation",4
T000123,mw,446,1537,"lemma_forms, mdc, normalized_transliteration, translation",4
T000091,yt,443,526,"lemma_forms, mdc, normalized_transliteration, translation",4
T000200,dieser,442,479,translation,1
T000178,mein,436,468,translation,1
T000116,bei,431,481,translation,1
T000202,namen,429,474,translation,1
T000231,himmel,429,456,translation,1
T000100,wda,421,1692,"lemma_forms, mdc, normalized_transliteration",3
T000127,wrtl,420,464,translation,1
T000177,hntj,418,586,"mdc, normalized_transliteration",2
T000134,hna,417,2567,"lemma_forms, mdc, normalized_transliteration",3
T000145,rh,414,1416,"lemma_forms, mdc, normalized_transliteration",3
T000107,sohn,411,431,translation,1
T000092,groen,410,439,translation,1
T000165,xpr,409,831,mdc,1
T000104,herr,408,450,translation,1
T000302,nfr-ka-raw,400,1561,"lemma_forms, mdc, normalized_transliteration",3
T000060,jh,399,834,"lemma_forms, mdc, normalized_transliteration",3
T000298,neferkare,397,513,translation,1
T000070,hrj,396,922,"mdc, normalized_transliteration",2
T000192,unter,387,415,translation,1
T000136,so,385,421,translation,1
T000201,hnw,378,988,"lemma_forms, mdc, normalized_transliteration",3
T000137,am,376,555,"lemma_forms, mdc, normalized_transliteration, translation",4
T000307,tjw,370,412,"lemma_forms, mdc, normalized_transliteration, translation",4
T000213,hprm,368,432,lemma_forms,1
T000214,hprm-sa,368,432,lemma_forms,1
T000025,nswt,366,1016,"lemma_forms, mdc, normalized_transliteration",3
T000269,gerechtfertigt,365,401,translation,1
T000129,jni,360,1722,"lemma_forms, mdc, normalized_transliteration, translation",4
T000148,hai,353,1319,"lemma_forms, mdc, normalized_transliteration",3
T000348,sp,349,1380,"lemma_forms, mdc, normalized_transliteration, translation",4
T000250,gegen,349,396,translation,1
T000161,n.t,348,731,"lemma_forms, mdc, normalized_transliteration",3
T000146,mh,347,1139,"lemma_forms, mdc, normalized_transliteration",3
T000184,nbt,347,874,"mdc, normalized_transliteration",2
T000180,rx,347,577,mdc,1
T000196,ja,347,482,"lemma_forms, mdc, normalized_transliteration, translation",4
T000341,wirst,345,376,translation,1
T000220,herz,345,364,translation,1
T000340,wsrw,339,1372,"mdc, normalized_transliteration",2
T000140,dann,338,351,translation,1
T000246,gekommen,337,377,translation,1
T000486,hft.j,329,371,"lemma_forms, normalized_transliteration",2
T000322,seth,329,342,translation,1
T000228,dwa,326,779,"lemma_forms, mdc, normalized_transliteration",3
T000230,sei,326,346,translation,1
T000274,doch,325,337,translation,1
T000203,wab,324,1755,"lemma_forms, mdc, normalized_transliteration",3
T000249,shm,322,1151,"lemma_forms, mdc, normalized_transliteration",3
T000216,nd,321,1073,"lemma_forms, mdc, normalized_transliteration, translation",4
T000138,mge,319,325,translation,1
T000126,n.tj,313,344,"lemma_forms, mdc, normalized_transliteration",3
T000164,tag,307,331,translation,1
T000361,deiner,306,326,translation,1
T000185,bw,304,1430,"lemma_forms, mdc, normalized_transliteration, translation",4
T000135,mri,303,1145,"lemma_forms, mdc, normalized_transliteration",3
T000150,nb.t,303,629,"lemma_forms, mdc, normalized_transliteration",3
T000209,ax,302,446,mdc,1
T000400,xft,300,438,mdc,1
T000122,gibt,300,326,translation,1
T000173,hast,297,363,"mdc, normalized_transliteration, translation",3
T000218,ihre,297,321,translation,1
T000325,worte,296,296,translation,1
T000382,kommt,295,349,translation,1
T000168,durch,294,313,translation,1
T000327,diesem,291,306,translation,1
T000219,vater,291,302,translation,1
T000260,mgest,288,319,translation,1
T000313,erde,288,302,translation,1
T000447,ast,285,902,"mdc, normalized_transliteration, translation",3
T000222,jmi,284,1404,"lemma_forms, mdc, normalized_transliteration",3
T000199,aht,280,584,"mdc, normalized_transliteration",2
T000626,jmntt,279,762,"mdc, normalized_transliteration",2
T000487,isis,279,287,translation,1
T000310,sxm,277,522,mdc,1
T000263,zur,276,299,translation,1
T000176,leben,276,294,translation,1
T000208,nach,275,307,translation,1
T000275,s.t,275,294,"lemma_forms, mdc, normalized_transliteration",3
T000323,sth,274,650,"lemma_forms, mdc, normalized_transliteration",3
T000288,xnw,274,331,mdc,1
T000223,sollst,273,296,translation,1
T000067,werde,273,292,translation,1
T000401,shr,272,926,"lemma_forms, mdc, normalized_transliteration",3
T000352,worden,272,342,translation,1
T000205,groe,272,288,translation,1
T000157,jt,271,732,"lemma_forms, mdc, normalized_transliteration",3
T000355,jab,271,566,"lemma_forms, mdc, normalized_transliteration",3
T000133,na,270,1172,"lemma_forms, mdc, normalized_transliteration, translation",4
T000279,tm,269,1240,"lemma_forms, mdc, normalized_transliteration, translation",4
T000351,psd,269,544,"lemma_forms, mdc, normalized_transliteration",3
T000227,hrt,269,434,"lemma_forms, mdc, normalized_transliteration, translation",4
T000309,jwn,268,536,"lemma_forms, mdc, normalized_transliteration, translation",4
T000297,himmels,268,313,translation,1
T000248,wat,267,895,"mdc, normalized_transliteration",2
T000232,msi,265,1339,"lemma_forms, mdc, normalized_transliteration, translation",4
T000151,dt,264,1016,"lemma_forms, mdc, normalized_transliteration",3
T000600,feinde,262,296,translation,1
T000362,kw,261,970,"lemma_forms, mdc, normalized_transliteration",3
T000204,nj.t,258,314,"lemma_forms, mdc, normalized_transliteration",3
T000332,name,258,281,translation,1
T000387,diesen,258,273,translation,1
T000171,mn,257,916,"lemma_forms, mdc, normalized_transliteration, translation",4
T000391,euch,257,284,translation,1
T000181,indem,254,279,translation,1
T000144,ky,253,1095,"lemma_forms, mdc, normalized_transliteration",3
T000326,js,248,1595,"lemma_forms, mdc, normalized_transliteration",3
T000270,dieses,247,263,translation,1
T000468,sxr,246,403,mdc,1
T000446,wnjs,245,1706,"lemma_forms, mdc, normalized_transliteration",3
T000236,wa.t,244,275,"lemma_forms, mdc, normalized_transliteration",3
T000194,axt,243,468,"mdc, translation",2
T000417,gesicht,242,255,translation,1
T000457,unas,241,280,translation,1
T000535,as.t,240,246,"lemma_forms, normalized_transliteration",2
T000239,mwt,238,1150,"lemma_forms, mdc, normalized_transliteration",3
T000347,jti,238,1116,"lemma_forms, mdc, normalized_transliteration",3
T000152,jrj,238,708,"mdc, normalized_transliteration",2
T000266,sdm,236,1416,"lemma_forms, mdc, normalized_transliteration",3
T000139,snb,236,932,"lemma_forms, mdc, normalized_transliteration",3
T000290,ah.t,236,245,"lemma_forms, mdc, normalized_transliteration",3
T000308,sagt,236,245,translation,1
T000343,diese,235,256,translation,1
T000720,komm,235,251,translation,1
T000255,haw,230,694,"lemma_forms, mdc, normalized_transliteration",3
T000285,ihnen,230,242,translation,1
T000443,neith,227,246,translation,1
T000292,aq,226,1140,"lemma_forms, mdc, normalized_transliteration",3
T000261,nt,226,808,"lemma_forms, mdc, normalized_transliteration, translation",4
T000508,m-hnw,226,469,"lemma_forms, normalized_transliteration",2
T000335,jr.t,226,252,"lemma_forms, mdc, normalized_transliteration",3
T000357,szp,221,1121,"lemma_forms, mdc, normalized_transliteration",3
T000465,nmt,221,461,"lemma_forms, mdc, normalized_transliteration",3
T000393,njt,220,950,"mdc, normalized_transliteration",2
T000376,kann,219,233,translation,1
T000524,m-xnw,219,231,mdc,1
T000306,nachdem,218,230,translation,1
T000370,smi,215,915,"lemma_forms, mdc, normalized_transliteration",3
T000449,haben,215,233,translation,1
T000094,hab,214,848,"lemma_forms, mdc, normalized_transliteration, translation",4
T000300,hwi,214,840,"lemma_forms, mdc, normalized_transliteration",3
T000312,ha.w,213,216,"lemma_forms, normalized_transliteration",2
T000316,meine,212,229,translation,1
T000366,nun,212,219,translation,1
T000190,pay,211,1325,"lemma_forms, mdc, normalized_transliteration",3
T000174,maat,211,748,"mdc, normalized_transliteration, translation",3
T000488,psdt,211,678,"mdc, normalized_transliteration",2
T000243,hn,211,534,"lemma_forms, mdc, normalized_transliteration",3
T000522,twt,210,1211,"lemma_forms, mdc, normalized_transliteration",3
T000253,dw,210,897,"lemma_forms, mdc, normalized_transliteration, translation",4
T000124,zha,207,364,"lemma_forms, normalized_transliteration",2
T000284,dessen,207,237,translation,1
T000188,gegeben,207,214,translation,1
T000254,dsr,206,737,"lemma_forms, mdc, normalized_transliteration",3
T000484,wdi,206,600,"lemma_forms, mdc, normalized_transliteration",3
T000272,sh,206,243,"lemma_forms, mdc, normalized_transliteration",3
T000437,geboren,206,218,translation,1
T000296,wd,205,824,"lemma_forms, mdc, normalized_transliteration",3
T000638,mehr,205,250,translation,1
T001232,wsjr-hnt.j-jmn.tjw,205,205,lemma_forms,1
T000110,jht,204,349,"lemma_forms, mdc, normalized_transliteration",3
T000380,lassen,204,221,translation,1
T000277,h.t,204,209,lemma_forms,1
T000256,ms,203,751,"lemma_forms, mdc, normalized_transliteration, translation",4
T000455,kommen,203,213,translation,1
T000494,thot,203,206,translation,1
T000642,sts,202,820,"lemma_forms, mdc, normalized_transliteration",3
T000315,soll,202,230,translation,1
T000459,mund,201,215,translation,1
T000280,jri.n,200,418,"mdc, normalized_transliteration",2
T000531,ihrem,200,218,translation,1
T000386,wnm,199,928,"lemma_forms, mdc, normalized_transliteration",3
T000197,d.t,199,221,"lemma_forms, mdc, normalized_transliteration",3
T000373,ihren,199,210,translation,1
T000527,hsf,198,737,"lemma_forms, normalized_transliteration",2
T000402,rd,196,829,"lemma_forms, mdc, normalized_transliteration",3
T000333,bah,196,636,"lemma_forms, mdc, normalized_transliteration",3
T000403,macht,196,210,translation,1
T000278,wasser,196,208,translation,1
T000399,sta,195,627,"lemma_forms, mdc, normalized_transliteration",3
T000271,wurde,195,218,translation,1
T000365,m-a,194,612,"lemma_forms, mdc, normalized_transliteration",3
T000311,sd,194,453,"lemma_forms, mdc, normalized_transliteration, translation",4
T000162,herrn,194,207,translation,1
T000328,dhw,194,205,"lemma_forms, mdc, normalized_transliteration",3
T000609,gbb,193,1014,"lemma_forms, mdc, normalized_transliteration",3
T000244,sma,193,655,"lemma_forms, mdc, normalized_transliteration",3
T000565,jr.t-hr.w,193,195,lemma_forms,1
T000434,ab,192,425,"lemma_forms, mdc, normalized_transliteration, translation",4
T000511,mutter,192,210,translation,1
T000364,xrt,190,240,mdc,1
T000440,weg,190,196,translation,1
T000258,gs,189,989,"lemma_forms, mdc, normalized_transliteration, translation",4
T000252,abd,189,616,"lemma_forms, mdc, normalized_transliteration",3
T000375,rs,189,558,"lemma_forms, mdc, normalized_transliteration, translation",4
T000490,jtm,189,356,"lemma_forms, mdc, normalized_transliteration",3
T000423,mrw,188,259,"lemma_forms, mdc, normalized_transliteration, translation",4
T000629,geb,188,190,translation,1
T000360,mal,187,210,translation,1
T000245,nhh,186,660,"lemma_forms, mdc, normalized_transliteration",3
T000169,jh.t,186,197,lemma_forms,1
T000504,dhw.tj,186,197,"lemma_forms, mdc, normalized_transliteration",3
T001007,chontamenti,186,186,translation,1
T000540,spitze,185,218,translation,1
T000534,heliopolis,185,197,translation,1
T000601,leib,185,188,translation,1
T000293,sht,184,277,"lemma_forms, normalized_transliteration",2
T000519,sehen,184,185,translation,1
T000191,hd,183,683,"lemma_forms, mdc, normalized_transliteration",3
T000257,rmt,182,803,"lemma_forms, mdc, normalized_transliteration",3
T000517,jwnw,182,630,"mdc, normalized_transliteration",2
T000562,nwt,181,713,"lemma_forms, mdc, normalized_transliteration",3
T000305,sxt,181,245,mdc,1
T000624,horusauge,181,185,translation,1
T000247,sms,180,446,"lemma_forms, mdc, normalized_transliteration",3
T000317,land,180,181,translation,1
T000719,pwy,179,1110,"lemma_forms, mdc, normalized_transliteration",3
T000497,sah,179,815,"lemma_forms, mdc, normalized_transliteration, translation",4
T000282,raw-nb,179,471,"lemma_forms, mdc, normalized_transliteration",3
T000584,xsf,179,338,mdc,1
T000346,alle,179,193,translation,1
T000469,mw.t,179,190,"lemma_forms, mdc, normalized_transliteration",3
T000117,jxt,177,300,mdc,1
T000394,meinen,177,181,translation,1
T000701,gegrt,177,179,translation,1
T000496,hh,176,790,"lemma_forms, mdc, normalized_transliteration",3
T000643,jnd,176,624,"lemma_forms, mdc, normalized_transliteration",3
T000477,dhwtj,175,710,"mdc, normalized_transliteration",2
T000289,seines,175,193,translation,1
T000408,ns,173,395,"lemma_forms, mdc, normalized_transliteration, translation",4
T000478,sba,172,737,"lemma_forms, mdc, normalized_transliteration",3
T000632,jrt-hrw,172,348,"mdc, normalized_transliteration",2
T000377,siehe,172,181,translation,1
T000702,nw.t,172,178,"lemma_forms, mdc, normalized_transliteration",3
T000637,tzi,170,786,"lemma_forms, mdc, normalized_transliteration",3
T000182,hmt,170,527,"lemma_forms, mdc, normalized_transliteration",3
T000265,htm,169,686,"lemma_forms, mdc, normalized_transliteration",3
T000655,auge,169,175,translation,1
T000388,sagte,169,174,translation,1
T000503,ort,168,189,translation,1
T001303,apophis,168,172,translation,1
T000817,hay,167,585,"lemma_forms, mdc, normalized_transliteration",3
T000936,hy,167,439,"lemma_forms, mdc, normalized_transliteration",3
T000578,psd.t,167,173,"lemma_forms, mdc, normalized_transliteration",3
T000489,spruch,167,171,translation,1
T000224,hatj,166,539,"lemma_forms, mdc, normalized_transliteration",3
T000618,also,166,192,translation,1
T000570,keinen,166,179,translation,1
T000442,hand,166,176,translation,1
T000593,nimm,166,168,translation,1
T000406,ohne,165,181,translation,1
T000415,ha.t,165,173,"lemma_forms, mdc, normalized_transliteration",3
T000744,nut,165,168,translation,1
T001409,aapp,164,950,"lemma_forms, mdc, normalized_transliteration",3
T000404,sj,164,853,"lemma_forms, mdc, normalized_transliteration",3
T000353,aber,164,167,translation,1
T000397,ttj,163,1207,"lemma_forms, mdc, normalized_transliteration",3
T000371,sr,163,562,"lemma_forms, mdc, normalized_transliteration, translation",4
T000454,herrin,163,188,translation,1
T000552,jtm.w,163,175,"lemma_forms, mdc, normalized_transliteration",3
T000514,a.t,163,163,lemma_forms,1
T000276,wegen,162,173,translation,1
T000303,jri.t,161,330,"mdc, normalized_transliteration",2
T000476,rdi.n,161,328,"mdc, normalized_transliteration",2
T000463,dba,158,638,"lemma_forms, mdc, normalized_transliteration",3
T000611,teti,158,200,translation,1
T000349,geben,158,163,translation,1
T000301,ph,156,410,"lemma_forms, mdc, normalized_transliteration",3
T000453,haus,156,162,translation,1
T000473,sagen,156,158,translation,1
T000427,gottes,155,165,translation,1
T000671,jar,154,294,"lemma_forms, mdc, normalized_transliteration, translation",4
T000577,atum,154,165,translation,1
T000485,hmsi,153,848,"lemma_forms, mdc, normalized_transliteration",3
T000622,nhm,153,797,"lemma_forms, mdc, normalized_transliteration",3
T000286,wad,153,648,"lemma_forms, mdc, normalized_transliteration",3
T000210,anh-wda-snb,153,335,"lemma_forms, normalized_transliteration",2
T000516,jeden,153,159,translation,1
T000425,ds,152,807,"lemma_forms, mdc, normalized_transliteration, translation",4
T000553,haa,152,580,"lemma_forms, mdc, normalized_transliteration",3
T000438,aw,152,350,"lemma_forms, mdc, normalized_transliteration",3
T001829,selig,152,233,translation,1
T000212,anx-wda-snb,152,167,mdc,1
T000628,wer,152,157,translation,1
T000345,gmi,151,730,"lemma_forms, mdc, normalized_transliteration",3
T000358,mnh,150,349,"lemma_forms, mdc, normalized_transliteration, translation",4
T000558,jr.j,150,167,"lemma_forms, mdc, normalized_transliteration",3
T000930,nephthys,150,151,translation,1
T000646,wja,149,768,"lemma_forms, mdc, normalized_transliteration",3
T000575,kopf,147,155,translation,1
T000594,grh,146,914,"lemma_forms, mdc, normalized_transliteration",3
T000475,wha,146,566,"lemma_forms, mdc, normalized_transliteration",3
T000321,gemacht,146,152,translation,1
T000709,deines,146,148,translation,1
T000612,gehen,145,159,translation,1
T000756,feuer,144,145,translation,1
T000334,tay,143,677,"lemma_forms, mdc, normalized_transliteration",3
T000470,wp,143,234,"lemma_forms, mdc, normalized_transliteration",3
T000238,beim,143,156,translation,1
T000616,mrwt,142,484,"mdc, normalized_transliteration",2
T000233,rnp,142,222,"lemma_forms, mdc, normalized_transliteration",3
T000674,arme,142,145,translation,1
T001847,wsjr-xntj-jmntt,142,142,mdc,1
T001856,wsjr-hntj-jmntt,142,142,normalized_transliteration,1
T000495,snj,141,764,"lemma_forms, mdc, normalized_transliteration, translation",4
T000331,wsr,141,591,"lemma_forms, mdc, normalized_transliteration, translation",4
T000115,knig,141,144,translation,1
T000395,ma,140,430,"lemma_forms, mdc, normalized_transliteration, translation",4
T000502,zp-2,140,407,"lemma_forms, mdc, normalized_transliteration",3
T000573,m-ht,140,285,"lemma_forms, normalized_transliteration",2
T000389,ptr,139,516,"lemma_forms, mdc, normalized_transliteration",3
T000727,nacht,139,162,translation,1
T000739,vier,139,142,translation,1
T000688,dai,138,738,"lemma_forms, mdc, normalized_transliteration",3
T000410,m-bah,138,435,"lemma_forms, mdc, normalized_transliteration",3
T000392,mann,138,142,"lemma_forms, translation",2
T000802,hier,138,140,translation,1
T000186,zxaw,137,283,mdc,1
T000187,zhaw,137,283,normalized_transliteration,1
T000336,brot,137,155,translation,1
T000588,m-xt,137,141,mdc,1
T000359,swt,136,594,"lemma_forms, mdc, normalized_transliteration",3
T000556,zusammen,136,150,translation,1
T000518,gehrt,136,148,translation,1
T000167,bj,136,143,"lemma_forms, mdc, normalized_transliteration, translation",4
T000424,menschen,136,142,translation,1
T000682,gttern,136,139,translation,1
T000604,qbh,135,326,"lemma_forms, mdc, normalized_transliteration",3
T000564,taz,135,314,"lemma_forms, mdc, normalized_transliteration",3
T000579,maa.t,135,153,"lemma_forms, mdc, normalized_transliteration",3
T000742,barke,135,140,translation,1
T001940,hft.pl,134,140,normalized_transliteration,1
T001941,xft.pl,134,140,mdc,1
T000874,jmj.w,133,282,"mdc, normalized_transliteration",2
T000608,seite,133,162,translation,1
T000515,zwei,133,159,translation,1
T000586,whrend,133,152,translation,1
T000414,sm,132,355,"lemma_forms, mdc, normalized_transliteration, translation",4
T000509,xai,132,198,mdc,1
T000635,yw,131,252,"lemma_forms, mdc, normalized_transliteration, translation",4
T000619,jp,130,462,"lemma_forms, mdc, normalized_transliteration",3
T000421,sps,130,338,"lemma_forms, mdc, normalized_transliteration",3
T000636,xnt,130,213,mdc,1
T000356,jeder,130,154,translation,1
T000294,vom,130,136,translation,1
T000677,jtmw,129,544,"mdc, normalized_transliteration",2
T000961,twk,129,295,"lemma_forms, mdc, normalized_transliteration",3
T000551,taw,128,700,"lemma_forms, mdc, normalized_transliteration",3
T000797,hftj,128,197,normalized_transliteration,1
T000798,xftj,128,197,mdc,1
T000546,snd,127,586,"lemma_forms, mdc, normalized_transliteration",3
T000625,jmnt,127,424,"mdc, normalized_transliteration",2
T000304,nht,127,380,"lemma_forms, mdc, normalized_transliteration",3
T000367,jaw,127,335,"lemma_forms, mdc, normalized_transliteration",3
T000550,hinter,127,133,translation,1
T001006,nb.t-hw.t,127,127,lemma_forms,1
T001014,nbt-hwt,126,252,"mdc, normalized_transliteration",2
T000339,zha.w,126,151,"lemma_forms, normalized_transliteration",2
T000620,hr.t,126,139,"lemma_forms, mdc, normalized_transliteration",3
T000544,wpi,125,544,"lemma_forms, mdc, normalized_transliteration",3
T000195,keine,125,147,translation,1
T000783,jwn.w,125,132,"lemma_forms, mdc, normalized_transliteration",3
T000429,hr.t-ntr,125,128,"lemma_forms, normalized_transliteration",2
T000413,qd,124,550,"lemma_forms, mdc, normalized_transliteration",3
T000821,bas,124,155,"lemma_forms, mdc, normalized_transliteration, translation",4
T000606,herzen,124,131,translation,1
T000656,snt,123,459,"lemma_forms, mdc, normalized_transliteration",3
T000758,zau,123,358,"lemma_forms, mdc, normalized_transliteration",3
T000281,xa,123,354,mdc,1
T000711,hathor,123,124,translation,1
T000669,tr,122,515,"lemma_forms, mdc, normalized_transliteration, translation",4
T000752,ky-dd,122,376,"lemma_forms, mdc, normalized_transliteration",3
T000523,hr.j,122,135,"lemma_forms, normalized_transliteration",2
T000597,meinem,122,123,translation,1
T001237,sbj,121,349,"lemma_forms, mdc, normalized_transliteration",3
T000854,frieden,121,147,translation,1
T000613,arm,121,133,translation,1
T000664,groer,121,130,translation,1
