gardiner_code,unicode_char,zh_name,en_name,related_terms,png_path,processed_png_path
Y5,𓏞,书写板,writing board,"scribe,writing",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\Y5.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\Y5_processed.png
M23,𓇓,莎草植物,sedge,"sedge,king,nswt",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\M23.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\M23_processed.png
N35,𓈖,水波,water,"water,n",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\N35.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\N35_processed.png
Z1,𓏤,单笔画,stroke,"stroke,one",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\Z1.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\Z1_processed.png
D4,𓁹,眼睛,eye,"eye,seeing,vision,watch",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\D4.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\D4_processed.png
D10,𓂀,荷鲁斯之眼,wedjat eye,"wedjat,horus,eye,protection,healing",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\D10.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\D10_processed.png
G43,𓅱,鹌鹑雏鸟,quail chick,"quail,bird,w,chick",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\G43.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\G43_processed.png
I9,𓆑,角蝰,horned viper,"viper,snake,f,danger",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\I9.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\I9_processed.png
N1,𓇯,天空,sky,"sky,heaven,firmament",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\N1.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\N1_processed.png
N14,𓇼,星星,star,"star,night,sky,astral",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\N14.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\N14_processed.png
N16,𓇾,土地,land,"land,earth,ground,territory",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\N16.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\N16_processed.png
N25,𓈉,山地,hill country,"hill,mountain,foreign land,desert",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\N25.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\N25_processed.png
N36,𓈘,水渠,water channel,"canal,water,channel,irrigation",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\N36.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\N36_processed.png
R8,𓊹,神旗,god standard,"god,deity,divine,standard,temple",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\R8.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\R8_processed.png
S29,𓋴,折布,folded cloth,"cloth,fabric,s",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\S29.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\S29_processed.png
V31,𓎡,篮子,basket,"basket,container,k",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\V31.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\V31_processed.png
Y1,𓏛,书卷,scroll,"scroll,writing,document,text",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\Y1.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\Y1_processed.png
Z2,𓏥,双短划,double strokes,"two,dual,plural,stroke",C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_png\Z2.png,C:\Users\GE ZITONG\Desktop\egypt_agent_project\data_sign_demo\sign_processed\Z2_processed.png
