doc_id,topic_tags_zh,summary_zh,matched_chinese_rules,annotation_source
D034313,太阳崇拜；荷鲁斯信仰；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、荷鲁斯信仰、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；荷鲁斯信仰:hr；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D033339,太阳崇拜；荷鲁斯信仰；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、荷鲁斯信仰、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；荷鲁斯信仰:horus；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D031509,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D040515,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D042876,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D041863,太阳崇拜；死亡与亡灵；金字塔文本；生命与保护,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本、生命与保护”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid；生命与保护:anh,rule_based
D033917,神祇信仰；太阳崇拜；荷鲁斯信仰；死亡与亡灵；金字塔文本,该文本涉及“神祇信仰、太阳崇拜、荷鲁斯信仰、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,神祇信仰:ntr；太阳崇拜:ra；荷鲁斯信仰:horus；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D030436,神祇信仰；太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“神祇信仰、太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,神祇信仰:ntr；太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D032617,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D034689,太阳崇拜；荷鲁斯信仰；死亡与亡灵；祭祀供奉；金字塔文本,该文本涉及“太阳崇拜、荷鲁斯信仰、死亡与亡灵、祭祀供奉、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可能涉及供品、祭祀仪式或神庙宗教实践。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；荷鲁斯信仰:hr；死亡与亡灵:ba；祭祀供奉:opfer；金字塔文本:pyramid,rule_based
D039822,太阳崇拜；荷鲁斯信仰；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、荷鲁斯信仰、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；荷鲁斯信仰:hr；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D036687,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D042578,奥西里斯信仰；太阳崇拜；荷鲁斯信仰；死亡与亡灵；金字塔文本,该文本涉及“奥西里斯信仰、太阳崇拜、荷鲁斯信仰、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能与奥西里斯神话、死亡复活或亡灵信仰相关。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,奥西里斯信仰:osiris；太阳崇拜:ra；荷鲁斯信仰:horus；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D035804,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D042182,太阳崇拜；荷鲁斯信仰；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、荷鲁斯信仰、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；荷鲁斯信仰:hr；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D039055,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D031387,奥西里斯信仰；太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“奥西里斯信仰、太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能与奥西里斯神话、死亡复活或亡灵信仰相关。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,奥西里斯信仰:osiris；太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D033838,奥西里斯信仰；太阳崇拜；荷鲁斯信仰；死亡与亡灵；金字塔文本,该文本涉及“奥西里斯信仰、太阳崇拜、荷鲁斯信仰、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能与奥西里斯神话、死亡复活或亡灵信仰相关。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,奥西里斯信仰:osiris；太阳崇拜:ra；荷鲁斯信仰:horus；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D032267,神祇信仰；太阳崇拜；荷鲁斯信仰；死亡与亡灵；金字塔文本,该文本涉及“神祇信仰、太阳崇拜、荷鲁斯信仰、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,神祇信仰:ntr；太阳崇拜:ra；荷鲁斯信仰:horus；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D043306,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D040497,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D034674,神祇信仰；太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“神祇信仰、太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,神祇信仰:ntr；太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D035499,太阳崇拜；荷鲁斯信仰；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、荷鲁斯信仰、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；荷鲁斯信仰:hr；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D037146,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D036557,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D033382,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D032630,神祇信仰；太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“神祇信仰、太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,神祇信仰:ntr；太阳崇拜:ra；死亡与亡灵:mwt；金字塔文本:pyramid,rule_based
D042891,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D040014,太阳崇拜；荷鲁斯信仰；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、荷鲁斯信仰、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；荷鲁斯信仰:hr；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D032421,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D032282,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D041536,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
D043059,太阳崇拜；死亡与亡灵；金字塔文本,该文本涉及“太阳崇拜、死亡与亡灵、金字塔文本”等主题，来源语料为 bbawpyramidentexte。文本可能涉及太阳神、光明、再生或王权神学。文本可作为古埃及来世观念、亡灵身份或死后世界相关证据。,太阳崇拜:ra；死亡与亡灵:ba；金字塔文本:pyramid,rule_based
